Life Satisfaction,wea,web,wec,wed,wee,wef,weg,weh,wei,wej,income,OldChild,SmallChild,job,gender,employ,children_,state,confirmed_x,deaths_x,school_closing_x,workplace_closing_x,cancel_events_x,gatherings_restrictions_x,transport_closing_x,stay_home_restrictions_x,internal_movement_restrictions_x,testing_policy_x,contact_tracing_x,demo_age,demo_marital_status_2017,No. Children
8,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Middle-Income,1,1,Finance,Female,Employed full-time (i.e. worked at least 35-hours for pay),Yes,KS,7116,158,3,2,2,4,1,1,1,2,1,50,Married,2
8,No,No,No,No,No,No,Yes,No,No,No,High-Income,,,Other; please specify,Male,Employed full-time (i.e. worked at least 35-hours for pay),No,KS,7116,158,3,2,2,4,1,1,1,2,1,51,Divorced,0
5,Yes,No,No,Yes,No,Yes,No,No,No,No,Middle-Income,,,Transportation,Male,Employed full-time (i.e. worked at least 35-hours for pay),No,KY,6440,304,3,2,2,4,2,2,1,3,1,50,Domestic partnership/Living with partner (not legally married),0
6,Yes,No,No,No,No,Yes,No,No,No,No,Low-Income,,,Community/Social Services,Female,Employed full-time (i.e. worked at least 35-hours for pay),No,KY,6440,304,3,2,2,4,2,2,1,3,1,57,Married,0
8,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,High-Income,1,,Manufacturing,Female,Employed full-time (i.e. worked at least 35-hours for pay),Yes,KY,6440,304,3,2,2,4,2,2,1,3,1,43,Married,1
6,Yes,Yes,No,No,No,Yes,No,No,No,No,Middle-Income,,,K-12 Education,Female,Employed full-time (i.e. worked at least 35-hours for pay),No,LA,31815,2308,3,2,2,2,1,2,1,1,1,52,Domestic partnership/Living with partner (not legally married),0
6,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,High-Income,,,College or University,Female,Employed full-time (i.e. worked at least 35-hours for pay),No,MA,78462,5108,3,3,2,4,1,1,1,2,2,73,Married,0
6,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,High-Income,,,Professional Services,Male,Employed full-time (i.e. worked at least 35-hours for pay),No,MA,78462,5108,3,3,2,4,1,1,1,2,2,48,Married,0
5,Yes,Yes,No,No,No,Yes,No,No,No,No,Low-Income,,,Other; please specify,Female,Employed part-time (i.e. worked less than 35-hours for pay),No,MA,78462,5108,3,3,2,4,1,1,1,2,2,63,Domestic partnership/Living with partner (not legally married),0
6,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Middle-Income,1,1,College or University,Female,Employed part-time (i.e. worked less than 35-hours for pay),Yes,MD,33373,1788,3,3,2,4,2,2,2,1,1,40,Married,3
4,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,Middle-Income,1,1,Law,Male,Employed part-time (i.e. worked less than 35-hours for pay),Yes,MD,33373,1788,3,3,2,4,2,2,2,1,1,49,Married,3
5,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,Middle-Income,1,,Technological/Information Systems/Computer/Software/Mathematical,Male,Employed full-time (i.e. worked at least 35-hours for pay),Yes,MD,33373,1788,3,3,2,4,2,2,2,1,1,52,Divorced,2
8,Yes,No,No,No,Yes,Yes,No,No,No,No,Middle-Income,,1,Government or Public Policy,Male,Employed full-time (i.e. worked at least 35-hours for pay),Yes,MD,33373,1788,3,3,2,4,2,2,2,1,1,48,Married,2
8,Yes,No,No,No,No,Yes,No,No,No,No,Low-Income,,,Construction,Male,Employed full-time (i.e. worked at least 35-hours for pay),No,ME,1462,65,3,2,2,4,2,2,2,1,1,64,Separated,0
8,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Middle-Income,,,Health Care,Male,Employed full-time (i.e. worked at least 35-hours for pay),No,MI,54004,5139,3,2,2,1,1,2,2,2,1,60,Married,0
8,Yes,No,No,No,No,Yes,No,No,No,No,High-Income,1,1,Health Care,Male,Employed full-time (i.e. worked at least 35-hours for pay),Yes,MI,54004,5139,3,2,2,1,1,2,2,2,1,50,Married,2
7,Yes,No,No,No,No,No,Yes,No,No,No,Middle-Income,1,1,Technological/Information Systems/Computer/Software/Mathematical,Male,Employed full-time (i.e. worked at least 35-hours for pay),Yes,MI,54004,5139,3,2,2,1,1,2,2,2,1,41,Married,4
7,Yes,No,No,No,No,Yes,No,No,No,No,Middle-Income,1,,Professional Services,Male,Employed full-time (i.e. worked at least 35-hours for pay),Yes,MI,54004,5139,3,2,2,1,1,2,2,2,1,45,Married,1
4,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Middle-Income,,,Professional Services,Male,Employed part-time (i.e. worked less than 35-hours for pay),No,MI,54004,5139,3,2,2,1,1,2,2,2,1,66,Married,0
7,Yes,No,No,No,No,Yes,No,No,No,No,Low-Income,,,Community/Social Services,Female,Employed part-time (i.e. worked less than 35-hours for pay),No,MN,14379,591,3,2,2,4,0,2,1,2,1,74,Divorced,0
7,Yes,No,No,No,No,Yes,No,No,No,No,Middle-Income,0,1,Manufacturing,Male,Employed full-time (i.e. worked at least 35-hours for pay),Yes,MN,14379,591,3,2,2,4,0,2,1,2,1,36,Married,3
7,Yes,No,Yes,No,No,Yes,No,No,No,No,Middle-Income,,,Manufacturing,Male,Employed full-time (i.e. worked at least 35-hours for pay),No,MN,14379,591,3,2,2,4,0,2,1,2,1,53,Married,0
5,No,No,No,No,No,No,Yes,Yes,No,No,Middle-Income,,,Health Care,Male,Employed full-time (i.e. worked at least 35-hours for pay),No,MN,14379,591,3,2,2,4,0,2,1,2,1,58,,0
7,No,No,No,No,No,No,No,No,No,No,Middle-Income,,,Other; please specify,Male,Employed full-time (i.e. worked at least 35-hours for pay),No,MN,14379,591,3,2,2,4,0,2,1,2,1,28,Single/Never been married,0
8,Yes,No,No,No,No,Yes,No,No,No,No,Middle-Income,1,1,K-12 Education,Female,Employed full-time (i.e. worked at least 35-hours for pay),No,MN,14379,591,3,2,2,4,0,2,1,2,1,46,Married,2
7,Yes,No,No,No,No,Yes,No,No,No,No,Middle-Income,,,K-12 Education,Male,Employed full-time (i.e. worked at least 35-hours for pay),No,MN,14379,591,3,2,2,4,0,2,1,2,1,63,Married,0
8,No,Yes,No,No,No,No,Yes,Yes,No,Yes,Middle-Income,,,Utilities,Male,Employed full-time (i.e. worked at least 35-hours for pay),No,MO,9918,488,3,2,2,4,0,2,1,1,1,39,Single/Never been married,0
9,Yes,No,No,No,No,Yes,No,No,No,No,Middle-Income,,,Utilities,Female,Employed full-time (i.e. worked at least 35-hours for pay),No,MO,9918,488,3,2,2,4,0,2,1,1,1,56,Married,0
6,Yes,No,No,No,No,Yes,Yes,No,No,No,Low-Income,,,Other; please specify,Male,Employed part-time (i.e. worked less than 35-hours for pay),No,MT,459,16,3,2,2,4,1,2,1,2,2,52,Domestic partnership/Living with partner (not legally married),0
9,Yes,No,No,No,No,Yes,No,No,No,No,High-Income,,,"Mining, Quarrying, Oil, and Gas Extraction",Male,Employed full-time (i.e. worked at least 35-hours for pay),No,MT,459,16,3,2,2,4,1,2,1,2,2,59,Married,0
9,Yes,No,No,No,No,Yes,No,No,No,Yes,Middle-Income,,,K-12 Education,Female,Employed full-time (i.e. worked at least 35-hours for pay),No,MT,459,16,3,2,2,4,1,2,1,2,2,52,Single/Never been married,0
8,Yes,No,No,No,No,Yes,No,No,No,No,Middle-Income,,,Other; please specify,Male,Employed full-time (i.e. worked at least 35-hours for pay),No,NC,15045,550,3,2,2,3,1,1,2,1,1,45,Married,0
5,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Middle-Income,,,Government or Public Policy,Male,Employed full-time (i.e. worked at least 35-hours for pay),No,NC,15045,550,3,2,2,3,1,1,2,1,1,63,Married,0
7,Yes,No,No,No,No,Yes,No,No,No,No,Middle-Income,1,,Government or Public Policy,Male,Employed full-time (i.e. worked at least 35-hours for pay),Yes,NC,15045,550,3,2,2,3,1,1,2,1,1,56,Married,1
7,Yes,No,No,Yes,No,Yes,No,No,No,No,Middle-Income,,,Construction,Male,Employed full-time (i.e. worked at least 35-hours for pay),No,NC,15045,550,3,2,2,3,1,1,2,1,1,51,Married,0
8,Yes,No,No,No,No,Yes,No,No,No,No,Middle-Income,,,Retail,Female,Employed full-time (i.e. worked at least 35-hours for pay),No,NC,15045,550,3,2,2,3,1,1,2,1,1,50,Domestic partnership/Living with partner (not legally married),0
8,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Middle-Income,,,Real Estate,Female,Employed full-time (i.e. worked at least 35-hours for pay),No,NC,15045,550,3,2,2,3,1,1,2,1,1,60,Married,0
3,No,No,Yes,No,Yes,No,No,Yes,No,No,Low-Income,1,1,Retail,Female,Employed part-time (i.e. worked less than 35-hours for pay),Yes,NC,15045,550,3,2,2,3,1,1,2,1,1,40,Domestic partnership/Living with partner (not legally married),3
5,No,Yes,No,Yes,No,No,No,No,No,No,Middle-Income,,,Other; please specify,Female,Employed full-time (i.e. worked at least 35-hours for pay),No,NC,15045,550,3,2,2,3,1,1,2,1,1,50,Domestic partnership/Living with partner (not legally married),0
6,Yes,No,No,No,No,Yes,Yes,No,No,No,Middle-Income,,,Other; please specify,Female,Employed full-time (i.e. worked at least 35-hours for pay),No,NE,8315,98,3,2,2,4,1,1,1,1,1,32,Married,0
5,Yes,No,No,No,No,Yes,No,No,No,No,Middle-Income,,,Finance,Female,Employed full-time (i.e. worked at least 35-hours for pay),No,NE,8315,98,3,2,2,4,1,1,1,1,1,48,Married,0
7,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Middle-Income,,,Warehousing/Logistics,Female,Employed full-time (i.e. worked at least 35-hours for pay),No,NJ,140022,10926,3,3,2,4,1,2,1,3,1,34,Married,0
7,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,High-Income,,,Health Care,Female,Employed full-time (i.e. worked at least 35-hours for pay),No,NJ,140022,10926,3,3,2,4,1,2,1,3,1,55,Married,0
5,Yes,No,No,No,No,Yes,No,No,No,No,Middle-Income,,,Health Care,Male,Employed full-time (i.e. worked at least 35-hours for pay),No,NJ,140022,10926,3,3,2,4,1,2,1,3,1,61,Married,0
8,Yes,No,No,No,No,Yes,Yes,No,No,No,Middle-Income,1,,Technological/Information Systems/Computer/Software/Mathematical,Male,Employed full-time (i.e. worked at least 35-hours for pay),No,NJ,140022,10926,3,3,2,4,1,2,1,3,1,55,Married,0
6,No,No,No,No,No,No,No,Yes,No,No,High-Income,1,,Technological/Information Systems/Computer/Software/Mathematical,Male,Employed full-time (i.e. worked at least 35-hours for pay),Yes,NJ,140022,10926,3,3,2,4,1,2,1,3,1,47,Married,2
6,No,No,No,No,No,Yes,No,No,No,No,Middle-Income,,1,Other; please specify,Male,Employed part-time (i.e. worked less than 35-hours for pay),No,NJ,140022,10926,3,3,2,4,1,2,1,3,1,63,Domestic partnership/Living with partner (not legally married),1
3,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Middle-Income,,,Government or Public Policy,Male,Employed part-time (i.e. worked less than 35-hours for pay),No,NM,5069,208,3,3,2,4,2,1,2,2,2,66,Married,0
6,Yes,No,Yes,No,No,Yes,Yes,No,No,No,Low-Income,1,1,Other; please specify,Male,Employed part-time (i.e. worked less than 35-hours for pay),No,NV,6152,344,3,2,2,4,0,1,1,1,1,21,Single/Never been married,6
8,No,No,Yes,No,No,No,Yes,No,No,No,High-Income,,,Health Care,Female,Employed part-time (i.e. worked less than 35-hours for pay),No,NY,337055,21640,3,3,2,4,1,2,1,2,2,61,Married,0
6,Yes,No,No,No,No,Yes,No,No,No,No,Middle-Income,0,1,Government or Public Policy,Male,Employed full-time (i.e. worked at least 35-hours for pay),Yes,NY,337055,21640,3,3,2,4,1,2,1,2,2,51,Divorced,2
7,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Middle-Income,,,Government or Public Policy,Female,Employed full-time (i.e. worked at least 35-hours for pay),No,NY,337055,21640,3,3,2,4,1,2,1,2,2,52,Married,0
7,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Middle-Income,,,Other; please specify,Male,Employed full-time (i.e. worked at least 35-hours for pay),No,NY,337055,21640,3,3,2,4,1,2,1,2,2,53,Married,0
4,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Low-Income,,,"Agriculture, Forestry, Fishing, and Hunting",Male,Employed full-time (i.e. worked at least 35-hours for pay),No,NY,337055,21640,3,3,2,4,1,2,1,2,2,32,Single/Never been married,0
4,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Low-Income,,,Other; please specify,Female,Employed full-time (i.e. worked at least 35-hours for pay),No,NY,337055,21640,3,3,2,4,1,2,1,2,2,58,Divorced,0
7,No,No,No,No,No,No,No,Yes,No,No,Middle-Income,1,1,Insurance,Female,Employed full-time (i.e. worked at least 35-hours for pay),Yes,NY,337055,21640,3,3,2,4,1,2,1,2,2,44,Married,2
6,Yes,No,No,No,No,Yes,No,No,No,No,Middle-Income,,,Other; please specify,Male,Employed part-time (i.e. worked less than 35-hours for pay),No,NY,337055,21640,3,3,2,4,1,2,1,2,2,62,Married,0
8,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,High-Income,1,1,Insurance,Male,Employed full-time (i.e. worked at least 35-hours for pay),Yes,NY,337055,21640,3,3,2,4,1,2,1,2,2,52,Married,2
3,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,High-Income,,,Professional Services,Female,Employed full-time (i.e. worked at least 35-hours for pay),No,NY,337055,21640,3,3,2,4,1,2,1,2,2,37,Married,0
6,No,Yes,No,Yes,No,No,No,No,No,Yes,Middle-Income,0,1,Government or Public Policy,Female,Employed full-time (i.e. worked at least 35-hours for pay),Yes,OH,24777,1357,3,2,2,4,0,2,1,2,1,30,Married,1
7,Yes,Yes,No,No,No,Yes,No,No,No,No,High-Income,0,1,K-12 Education,Female,Employed full-time (i.e. worked at least 35-hours for pay),Yes,OH,24777,1357,3,2,2,4,0,2,1,2,1,38,Married,2
9,Yes,No,No,No,No,Yes,No,No,No,No,Middle-Income,,,Health Care,Female,Employed full-time (i.e. worked at least 35-hours for pay),No,OH,24777,1357,3,2,2,4,0,2,1,2,1,49,Married,0
4,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Middle-Income,,,"Agriculture, Forestry, Fishing, and Hunting",Female,Employed part-time (i.e. worked less than 35-hours for pay),No,OH,24777,1357,3,2,2,4,0,2,1,2,1,61,Married,0
7,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Middle-Income,,,Health Care,Male,Employed full-time (i.e. worked at least 35-hours for pay),No,OH,24777,1357,3,2,2,4,0,2,1,2,1,38,Married,0
8,Yes,No,No,No,No,Yes,No,No,No,No,High-Income,1,,Health Care,Male,Employed full-time (i.e. worked at least 35-hours for pay),Yes,OH,24777,1357,3,2,2,4,0,2,1,2,1,50,Married,2
10 - Best possible,Yes,No,No,No,No,Yes,No,No,No,No,Middle-Income,,,K-12 Education,Female,Employed full-time (i.e. worked at least 35-hours for pay),No,OH,24777,1357,3,2,2,4,0,2,1,2,1,57,Married,0
2,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Middle-Income,,,Retail,Female,Employed full-time (i.e. worked at least 35-hours for pay),No,OH,24777,1357,3,2,2,4,0,2,1,2,1,43,Married,0
8,Yes,No,No,No,No,Yes,No,No,No,No,Middle-Income,1,1,K-12 Education,Female,Employed full-time (i.e. worked at least 35-hours for pay),No,OH,24777,1357,3,2,2,4,0,2,1,2,1,68,Married,2
7,Yes,No,No,No,No,Yes,Yes,No,No,No,Middle-Income,,,Transportation,Male,Employed part-time (i.e. worked less than 35-hours for pay),No,OH,24777,1357,3,2,2,4,0,2,1,2,1,70,Married,0
7,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Low-Income,,,"Agriculture, Forestry, Fishing, and Hunting",Male,Employed full-time (i.e. worked at least 35-hours for pay),No,OH,24777,1357,3,2,2,4,0,2,1,2,1,27,Single/Never been married,0
